GEOID,white,black,asian,hispanic,total_population,Under $50K,$50K - $100K,$100K - $200K,Over $200K,comm,LATITUDE,LONGITUDE,Lean Democrat,Lean Republican,Other
482011000001,0.436561201661873,0.317353787152445,0.0386705017577501,0.198785554490252,3129,0.3166529942575882,0.1771944216570959,0.1665299425758818,0.3396226415094339,0,29.758399,-95.358595,0.4177616674218396,0.1830539193475306,0.3991844132306298
482011000002,0.550316678395496,0.095707248416608,0.161154116819141,0.13652357494722,1421,0.4232456140350877,0.3399122807017544,0.1403508771929824,0.0964912280701754,0,29.751708,-95.368097,0.4688372093023256,0.13674418604651162,0.3944186046511628
482011000003,0.687200547570157,0.0924024640657084,0.0698151950718686,0.112251882272416,1461,0.2124874118831822,0.1983887210473313,0.323262839879154,0.2658610271903323,0,29.76003,-95.363031,0.37436224489795916,0.24808673469387754,0.37755102040816324
482012101001,0.174113812304767,0.549096835528996,0.0010865136493277,0.266467472497623,7363,0.0,0.5869565217391305,0.1956521739130435,0.217391304347826,0,29.764166,-95.355027,0.49238578680203043,0.1065989847715736,0.4010152284263959
482012104001,0.0137299771167048,0.0240274599542334,0.0,0.962242562929062,874,0.8161764705882353,0.1580882352941176,0.025735294117647,0.0,1,29.786716,-95.353658,0.9239904988123515,0.040380047505938245,0.035629453681710214
482012104002,0.241610738255034,0.0671140939597315,0.0,0.546979865771812,298,0.582089552238806,0.1890547263681592,0.1791044776119403,0.0497512437810945,1,29.782093,-95.361691,0.7514450867052023,0.0953757225433526,0.1531791907514451
482012104003,0.069204152249135,0.275951557093426,0.0,0.637110726643599,2312,0.7918313570487484,0.144927536231884,0.0632411067193675,0.0,1,29.786691,-95.360557,0.9131238447319778,0.05083179297597042,0.036044362292051754
482012104004,0.0788912579957356,0.111940298507463,0.0,0.809168443496802,938,0.7764350453172205,0.0845921450151057,0.1389728096676737,0.0,1,29.785517,-95.366961,0.8258426966292135,0.09550561797752809,0.07865168539325842
482012105001,0.041837198726694,0.0709413369713506,0.0,0.846293769895407,2199,0.6823056300268097,0.2158176943699732,0.1018766756032171,0.0,1,29.797165,-95.363166,0.7944389275074478,0.07845084409136048,0.12711022840119166
482012105002,0.0435618193465727,0.124919923126201,0.0,0.825112107623318,1561,0.7716049382716049,0.1522633744855967,0.0761316872427983,0.0,1,29.795708,-95.353832,0.8168103448275862,0.07004310344827586,0.11314655172413793
482012105003,0.0363534675615213,0.130872483221477,0.0,0.822147651006711,1788,0.717391304347826,0.2355072463768115,0.0471014492753623,0.0,1,29.79346,-95.361422,0.8384476534296029,0.09205776173285199,0.06949458483754513
482012106001,0.211243611584327,0.0,0.0,0.735945485519591,587,0.2794117647058823,0.2389705882352941,0.3823529411764705,0.0992647058823529,1,29.811289,-95.369701,0.7577519379844961,0.12015503875968993,0.12209302325581395
482012106002,0.297679112008073,0.0,0.0,0.702320887991927,991,0.5102459016393442,0.1864754098360656,0.2827868852459016,0.0204918032786885,2,29.81037,-95.361276,0.7323462414578588,0.16970387243735763,0.0979498861047836
482012106003,0.0904723779023219,0.0160128102481986,0.0,0.89351481184948,2498,0.6364719904648392,0.1144219308700834,0.2240762812872467,0.0250297973778307,1,29.803427,-95.361792,0.7755868544600939,0.12582159624413145,0.09859154929577464
482012106004,0.207034372501998,0.0391686650679456,0.0,0.753796962430056,1251,0.4980158730158731,0.1646825396825397,0.2956349206349207,0.0416666666666666,1,29.804348,-95.368355,0.7711138310893513,0.15299877600979192,0.07588739290085679
482012107001,0.08,0.0689655172413793,0.0027586206896551,0.848275862068966,725,0.6042553191489362,0.2042553191489361,0.1914893617021276,0.0,1,29.802165,-95.35446,0.8409638554216867,0.05301204819277108,0.10602409638554217
482012107002,0.0287769784172662,0.106115107913669,0.0,0.865107913669065,1112,0.6746575342465754,0.1952054794520548,0.1301369863013698,0.0,1,29.810676,-95.354524,0.8713450292397661,0.04093567251461988,0.08771929824561403
482012107003,0.0401929260450161,0.268488745980707,0.0096463022508038,0.681672025723473,622,0.8153153153153153,0.045045045045045,0.1396396396396396,0.0,1,29.806653,-95.354534,0.8071065989847716,0.0532994923857868,0.13959390862944163
482012108001,0.0493741307371349,0.399860917941586,0.0,0.55076495132128,1438,0.7950310559006211,0.1635610766045548,0.041407867494824,0.0,1,29.795374,-95.344287,0.9463087248322147,0.026845637583892617,0.026845637583892617
482012108002,0.0593385214007782,0.211089494163424,0.0,0.729571984435798,1028,0.7032967032967034,0.1181318681318681,0.1785714285714285,0.0,1,29.780783,-95.346765,0.8129370629370629,0.050699300699300696,0.13636363636363635
482012109001,0.0460333006856024,0.607247796278159,0.0,0.298726738491675,1021,0.7718446601941747,0.1893203883495145,0.0388349514563106,0.0,1,29.803167,-95.333971,0.9945750452079566,0.003616636528028933,0.0018083182640144665
482012109002,0.0,0.973244147157191,0.0,0.0267558528428094,299,0.9407894736842104,0.0,0.0592105263157894,0.0,1,29.804142,-95.326835,0.9717223650385605,0.010282776349614395,0.017994858611825194
482012110001,0.0150273224043716,0.471311475409836,0.0355191256830601,0.478142076502732,732,0.6949152542372882,0.2440677966101695,0.0440677966101694,0.0169491525423728,1,29.797567,-95.335666,0.922566371681416,0.024336283185840708,0.05309734513274336
482012110002,0.0039777247414478,0.567223548130469,0.0,0.419252187748608,1257,0.7694174757281553,0.1383495145631068,0.0922330097087378,0.0,1,29.796153,-95.328932,0.9800664451827242,0.013289036544850499,0.006644518272425249
482012111001,0.0,0.483870967741935,0.0,0.516129032258065,961,0.8433734939759037,0.1114457831325301,0.0451807228915662,0.0,1,29.784994,-95.337641,0.9778911564625851,0.003401360544217687,0.01870748299319728
482012111002,0.135265700483092,0.289855072463768,0.0,0.57487922705314,414,1.0,0.0,0.0,0.0,1,29.791776,-95.334236,0.9666666666666667,0.02727272727272727,0.006060606060606061
482012111003,0.0075839653304442,0.599133261105092,0.0455037919826652,0.347778981581798,923,0.4945848375451263,0.4296028880866426,0.075812274368231,0.0,3,29.790244,-95.326208,0.9472759226713533,0.043936731107205626,0.008787346221441126
482012111004,0.0327868852459016,0.112165660051769,0.0,0.85504745470233,1159,0.9243697478991596,0.0,0.0756302521008403,0.0,1,29.788369,-95.329483,0.9542682926829268,0.018292682926829267,0.027439024390243903
482012111005,0.0,0.565753424657534,0.0,0.434246575342466,730,0.8736059479553904,0.0520446096654275,0.0743494423791821,0.0,1,29.782266,-95.332148,0.9915730337078652,0.008426966292134831,
482012111006,0.0052863436123348,0.323348017621145,0.0,0.67136563876652,1135,0.8358974358974359,0.1282051282051282,0.0358974358974358,0.0,1,29.786398,-95.333214,0.943986820428336,0.011532125205930808,0.044481054365733116
482012112001,0.0,0.936781609195402,0.0,0.0,870,0.7909319899244333,0.1561712846347607,0.052896725440806,0.0,1,29.804172,-95.321114,0.9794007490636704,0.016853932584269662,0.003745318352059925
482012112002,0.0,0.677966101694915,0.0,0.322033898305085,885,0.9719827586206896,0.0129310344827586,0.0150862068965517,0.0,1,29.795898,-95.320325,0.9207920792079208,0.021216407355021217,0.05799151343705799
482012112003,0.0043859649122807,0.210526315789474,0.0,0.785087719298246,456,0.5099337748344371,0.4172185430463576,0.0728476821192053,0.0,3,29.789993,-95.320861,0.887468030690537,0.04092071611253197,0.07161125319693094
482012113001,0.0140646976090014,0.462728551336146,0.0,0.523206751054852,711,0.8794117647058823,0.1205882352941176,0.0,0.0,3,29.77429,-95.331344,0.9678899082568807,0.013761467889908258,0.01834862385321101
482012113002,0.0299079754601227,0.687116564417178,0.0,0.270705521472393,1304,0.8415841584158416,0.091089108910891,0.0673267326732673,0.0,3,29.772173,-95.337048,0.9735099337748344,0.018211920529801324,0.008278145695364239
482012113003,0.0185185185185185,0.582304526748971,0.0,0.380658436213992,1458,0.7632058287795993,0.2222222222222222,0.0,0.0145719489981785,3,29.776582,-95.320879,0.8592592592592593,0.05802469135802469,0.08271604938271605
482012113004,0.0133520730850316,0.442726633872101,0.0,0.527055516514406,1423,0.8683127572016461,0.1111111111111111,0.0205761316872428,0.0,3,29.778681,-95.330925,0.9761146496815286,0.014331210191082803,0.009554140127388535
482012113005,0.0260047281323877,0.950354609929078,0.0,0.0236406619385343,423,0.6266666666666667,0.3155555555555555,0.0577777777777777,0.0,3,29.780202,-95.321312,0.9428571428571428,0.02040816326530612,0.036734693877551024
482012114001,0.0324675324675325,0.474675324675325,0.0051948051948052,0.467532467532468,1540,0.8225190839694656,0.1335877862595419,0.0438931297709923,0.0,3,29.772077,-95.320245,0.9259259259259259,0.02880658436213992,0.04526748971193416
482012114002,0.0364415862808146,0.659163987138264,0.0085744908896034,0.295819935691318,933,0.7961165048543689,0.0938511326860841,0.1100323624595469,0.0,3,29.767412,-95.320266,0.9679595278246206,0.01011804384485666,0.021922428330522766
